,,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall,Head & Neck: Craniofacial,GU: Uterus,Upper Limb: Bilateral,Upper Limb: Unilateral,"Face, Scalp"
,,5 or More Years,,40,34,1,0,1,4,0,0,1,0,0,0,0,0,0
,North Carolina,All Time,,711,627,36,5,7,37,10,1,5,1,0,0,0,1,0
,,
,,< 30 Days,,52,32,7,0,4,7,6,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,76,56,8,0,1,8,4,1,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,92,82,6,1,0,3,0,0,1,0,0,0,0,0,0
,,6 Months to < 1 Year,,110,97,9,0,0,3,0,0,1,0,0,0,0,0,0
,,1 Year to < 2 Years,,149,142,3,3,1,5,0,0,2,1,0,0,0,0,0
,,2 Years to < 3 Years,,115,108,1,1,0,5,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,80,76,1,0,0,2,0,0,0,0,0,0,0,1,0
,,5 or More Years,,40,34,1,0,1,4,0,0,1,0,0,0,0,0,0
NCEC-TX1 Vidant Medical Center,All Center States,All Time,,395,376,0,3,18,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,22,20,0,0,2,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,24,22,0,0,2,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,27,24,0,0,3,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,66,60,0,0,6,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,137,133,0,2,2,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,52,50,0,1,3,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
,North Carolina,All Time,,395,376,0,3,18,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,22,20,0,0,2,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,24,22,0,0,2,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,27,24,0,0,3,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,66,60,0,0,6,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,137,133,0,2,2,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,52,50,0,1,3,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
NCMH-TX1 University of North Carolina Hospitals,All Center States,All Time,,844,773,30,4,14,22,9,1,0,0,0,0,0,0,0
,,< 30 Days,,26,18,3,1,1,1,2,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,38,32,2,0,1,3,3,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,55,45,6,1,0,3,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,119,104,7,0,4,3,2,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,192,175,5,0,3,10,1,1,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,137,125,5,1,4,2,1,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,179,176,2,1,1,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0
,North Carolina,All Time,,844,773,30,4,14,22,9,1,0,0,0,0,0,0,0
,,< 30 Days,,26,18,3,1,1,1,2,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,38,32,2,0,1,3,3,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,55,45,6,1,0,3,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,119,104,7,0,4,3,2,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,192,175,5,0,3,10,1,1,0,0,0,0,0,0,0
,,
,,2 Years to < 3 Years,,137,125,5,1,4,2,1,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,179,176,2,1,1,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0
NDMC-TX1 Sanford Bismarck Medical Center,All Center States,All Time,,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,North Dakota,All Time,,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
NDSL-TX1 Sanford Medical Center Fargo,All Center States,All Time,,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,North Dakota,All Time,,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
NECH-TX1 Children's Hospital & Medical Center,All Center States,All Time,,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,
,,6 Months to < 1 Year,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Nebraska,All Time,,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NEUN-TX1 The Nebraska Medical Center,All Center States,All Time,,304,182,92,11,1,33,1,0,17,0,0,0,0,0,0
,,< 30 Days,,23,13,9,0,0,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,23,17,6,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,28,18,11,1,0,1,0,0,2,0,0,0,0,0,0
,,6 Months to < 1 Year,,46,27,11,4,0,7,0,0,5,0,0,0,0,0,0
,,1 Year to < 2 Years,,78,54,14,2,0,8,1,0,4,0,0,0,0,0,0
,,2 Years to < 3 Years,,49,32,8,1,0,10,0,0,1,0,0,0,0,0,0
,,3 Years to < 5 Years,,33,17,14,2,1,3,0,0,4,0,0,0,0,0,0
,,5 or More Years,,24,4,19,1,0,1,0,0,1,0,0,0,0,0,0
,Nebraska,All Time,,304,182,92,11,1,33,1,0,17,0,0,0,0,0,0
,,< 30 Days,,23,13,9,0,0,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,23,17,6,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,28,18,11,1,0,1,0,0,2,0,0,0,0,0,0
,,6 Months to < 1 Year,,46,27,11,4,0,7,0,0,5,0,0,0,0,0,0
,,1 Year to < 2 Years,,78,54,14,2,0,8,1,0,4,0,0,0,0,0,0
,,2 Years to < 3 Years,,49,32,8,1,0,10,0,0,1,0,0,0,0,0,0
,,3 Years to < 5 Years,,33,17,14,2,1,3,0,0,4,0,0,0,0,0,0
,,5 or More Years,,24,4,19,1,0,1,0,0,1,0,0,0,0,0,0
NHDH-TX1 Mary Hitchcock Memorial Hospital,All Center States,All Time,,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,New Hampshire,All Time,,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0
,,
,,2 Years to < 3 Years,,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NJBI-TX1 Newark Beth Israel Medical Center,All Center States,All Time,,37,0,0,0,0,26,11,0,0,0,0,0,0,0,0
,,< 30 Days,,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,7,0,0,0,0,4,3,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,10,0,0,0,0,5,5,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,New Jersey,All Time,,37,0,0,0,0,26,11,0,0,0,0,0,0,0,0
,,< 30 Days,,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,7,0,0,0,0,4,3,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,10,0,0,0,0,5,5,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
NJHK-TX1 Hackensack University Medical Center,All Center States,All Time,,227,219,0,5,5,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,24,21,0,2,1,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,34,32,0,0,2,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,73,72,0,1,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,28,26,0,2,2,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,New Jersey,All Time,,227,219,0,5,5,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,24,21,0,2,1,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,34,32,0,0,2,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,73,72,0,1,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,28,26,0,2,2,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
NJLL-TX1 Virtua Our Lady of Lourdes Hospital,All Center States,All Time,,384,307,70,2,11,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,20,16,5,0,1,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,32,27,4,0,1,0,0,0,0,0,0,0,0,0,0
,,
,,6 Months to < 1 Year,,47,37,8,0,2,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,92,62,26,1,5,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,73,60,13,0,1,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,69,59,9,1,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,39,36,2,0,1,0,0,0,0,0,0,0,0,0,0
,New Jersey,All Time,,384,307,70,2,11,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,20,16,5,0,1,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,32,27,4,0,1,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,47,37,8,0,2,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,92,62,26,1,5,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,73,60,13,0,1,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,69,59,9,1,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,39,36,2,0,1,0,0,0,0,0,0,0,0,0,0
NJRW-TX1 Robert Wood Johnson University Hospital,All Center States,All Time,,289,270,0,1,6,12,0,0,0,0,0,0,0,0,0
,,< 30 Days,,16,15,0,0,1,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,24,20,0,1,1,2,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,31,26,0,0,2,3,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,34,32,0,0,1,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,104,99,0,0,1,4,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,15,13,0,0,0,2,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
,New Jersey,All Time,,289,270,0,1,6,12,0,0,0,0,0,0,0,0,0
,,< 30 Days,,16,15,0,0,1,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,24,20,0,1,1,2,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,31,26,0,0,2,3,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,34,32,0,0,1,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,104,99,0,0,1,4,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,15,13,0,0,0,2,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
NJSB-TX1 Saint Barnabas Medical Center,All Center States,All Time,,"1,559","1,538",0,5,16,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,40,39,0,1,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,77,75,0,0,2,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,101,99,0,0,2,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,223,217,0,1,5,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,430,423,0,3,4,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,209,208,0,0,1,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,265,265,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,214,212,0,0,2,0,0,0,0,0,0,0,0,0,0
,,
,New Jersey,All Time,,"1,559","1,538",0,5,16,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,40,39,0,1,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,77,75,0,0,2,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,101,99,0,0,2,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,223,217,0,1,5,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,430,423,0,3,4,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,209,208,0,0,1,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,265,265,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,214,212,0,0,2,0,0,0,0,0,0,0,0,0,0
NJUH-TX1 University Hospital,All Center States,All Time,,104,0,104,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
,New Jersey,All Time,,104,0,104,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"NMAQ-TX1 University Hospital, University of New Mexico Health Sciences Center",All Center States,All Time,,192,192,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0
,New Mexico,All Time,,192,192,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
,,
,,1 Year to < 2 Years,,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0
NMPH-TX1 Presbyterian Hospital,All Center States,All Time,,327,324,0,2,3,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,26,25,0,1,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,86,85,0,1,2,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,62,61,0,0,1,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0
,New Mexico,All Time,,327,324,0,2,3,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,26,25,0,1,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,86,85,0,1,2,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,62,61,0,0,1,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0
NVUM-TX1 University Medical Center of Southern Nevada,All Center States,All Time,,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nevada,All Time,,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
NYAM-TX1 Albany Medical Center Hospital,All Center States,All Time,,176,172,0,4,4,0,0,0,0,0,0,0,0,0,0
,,
,,< 30 Days,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,10,9,0,1,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,19,19,0,0,1,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,46,46,0,0,1,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,16,16,0,0,1,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,30,27,0,3,0,0,0,0,0,0,0,0,0,0,0
,New York,All Time,,176,172,0,4,4,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,10,9,0,1,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,19,19,0,0,1,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,46,46,0,0,1,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,16,16,0,0,1,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,30,27,0,3,0,0,0,0,0,0,0,0,0,0,0
NYCC-TX1 Long Island Jewish Medical Center-Cohen Children's Medical Center,All Center States,All Time,,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
